perodFrom,periodTo,zoneFrom,zoneTo,Auto,Transit
0,1,9,14,1.633705,0.3889362
0,1,9,15,1.262735,0.3006195
0,1,9,16,1.539226,0.3664437
0,1,9,17,1.536259,0.3657372
0,1,9,18,1.190092,0.2833253
0,1,9,19,0.04942352,0.01176628
0,1,9,20,0.01668313,0.003971763
0,1,9,21,0.03848806,0.009162866
0,1,9,22,1.73857,0.4139018
0,1,9,23,0.1243714,0.02960913
0,1,9,24,0.3767334,0.08968892
0,1,9,25,0.01329833,0.003165939
0,1,9,30,0.009866453,0.002348911
0,1,9,31,0.001551669,0.0003694068
0,1,9,32,0.002528233,0.0006018976
0,1,9,33,0.002925999,0.0006965935
0,1,9,34,0.01082587,0.002577318
0,1,9,35,0.02256768,0.005372696
0,1,9,36,0.02535381,0.006035992
0,1,9,37,0.005181276,0.001233508
0,1,9,38,0.01847298,0.004397866
0,1,9,39,0.02523221,0.006007038
0,1,9,40,0.02716183,0.00646642
0,1,10,1,0.05095723,0.007525071
0,1,10,2,0.3993827,0.1521327
0,1,10,3,1.141044,1.15716
0,1,10,4,0.1259794,0.1027866
0,1,10,5,0.02080087,0.007868255
0,1,10,6,0.02497128,0.01334006
0,1,10,7,0.03858251,0.02082456
0,1,10,8,0.01742207,0.007291988
0,1,10,9,0.05772527,0.0341964
0,1,10,10,1.162682,3.29871
0,1,10,11,0.02985465,0.01982657
0,1,10,12,0.0264487,0.01452836
0,1,10,13,0.01999024,0.008700462
0,1,10,14,0.02594153,0.009715667
0,1,10,15,0.0259416,0.008245469
0,1,10,16,0.04635753,0.01380409
0,1,10,17,0.02959021,0.01170708
0,1,10,18,0.02146811,0.01185535
0,1,10,19,2.0974,1.444965
0,1,10,20,0.6785495,0.4894902
0,1,10,21,1.263344,0.870102
0,1,10,22,0.4447725,0.2477754
0,1,10,23,0.0206349,0.00349933
0,1,10,24,0.0415081,0.008075846
0,1,10,25,0.03194859,0.00595256
0,1,10,30,0.3670729,0.2191547
0,1,10,31,0.001765501,7.006643E-05
0,1,10,32,0.003895401,0.0003896021
0,1,10,33,0.005843579,0.0005552194
0,1,10,34,0.02216083,0.002898534
0,1,10,35,0.2828974,0.09967084
0,1,10,36,0.1141172,0.02694083
0,1,10,37,0.003825091,0.0008154832
0,1,10,38,0.04360691,0.005855526
0,1,10,39,0.03524007,0.004736481
0,1,10,40,0.01968946,0.002497268
0,1,11,1,0.006128635,0.00194951
0,1,11,2,0.01864679,0.006026694
0,1,11,3,0.0100168,0.003179479
0,1,11,4,1.437676,0.345751
0,1,11,5,0.1105459,0.03367956
0,1,11,6,0.2397582,0.07316839
0,1,11,7,0.3640279,0.1068373
0,1,11,8,0.1703778,0.05452716
0,1,11,9,1.201873,0.3823733
0,1,11,10,0.001711251,0.0005395507
0,1,11,11,0.8307537,0.296925
0,1,11,12,0.6402678,0.2216103
0,1,11,13,0.2874217,0.1015779
0,1,11,14,0.3090388,0.1120498
0,1,11,15,0.2180588,0.07780439
0,1,11,16,0.3754059,0.1336047
0,1,11,17,0.4079465,0.1464911
0,1,11,18,0.5597078,0.2040403
0,1,11,19,0.01364534,0.004167681
0,1,11,20,0.004501532,0.001369468
0,1,11,21,0.0122126,0.003846169
0,1,11,22,0.9582197,0.3240264
0,1,11,23,0.04851836,0.01672158
0,1,11,24,0.07811025,0.02724029
0,1,11,25,0.003942047,0.001265091
0,1,11,30,0.002361713,0.000721273
0,1,11,34,0.001894833,0.000596788
0,1,11,35,0.005880819,0.001766785
0,1,11,36,0.007462134,0.002389748
0,1,11,37,0.001519302,0.0004961605
0,1,11,38,0.004856611,0.001629846
0,1,11,39,0.006503294,0.002147843
0,1,11,40,0.006915324,0.002311567
0,1,12,12,0.001799104,0.0004251441
0,1,12,13,0.002338411,0.0005522359
0,1,12,14,0.002664586,0.0006291692
0,1,12,15,0.001973477,0.0004660254
0,1,12,16,0.002959987,0.000699005
0,1,12,17,0.002658092,0.0006277608
0,1,12,18,0.001986291,0.0004687495
0,1,13,1,0.005920413,0.001073953
0,1,13,2,0.01349939,0.002448481
0,1,13,3,0.005573585,0.001011057
0,1,13,4,0.06550778,0.01188356
0,1,13,5,0.08879033,0.01610741
0,1,13,6,0.121291,0.0220075
0,1,13,7,0.1679288,0.03046924
0,1,13,8,0.1120774,0.02033231
0,1,13,9,0.2083465,0.03779849
0,1,13,11,0.07829211,0.01420243
0,1,13,12,0.419453,0.07607699
0,1,13,13,0.7078903,0.1281658
0,1,13,14,1.154118,0.2089559
0,1,13,15,1.734405,0.3141547
0,1,13,16,1.4326,0.2595558
0,1,13,17,0.5937142,0.1076347
0,1,13,18,0.2432047,0.04409348
0,1,13,19,0.004925508,0.0008936918
0,1,13,20,0.001490236,0.0002703891
0,1,13,21,0.004468799,0.0008106192
0,1,13,22,0.1180048,0.02141005
0,1,13,23,0.04919279,0.008918279
0,1,13,24,0.5168693,0.09365175
0,1,13,25,0.006452917,0.001169411
0,1,13,30,0.001018108,0.0001846971
0,1,13,34,0.001976915,0.0003586105
0,1,13,35,0.002036843,0.0003696482
0,1,13,36,0.00345351,0.0006264945
0,1,13,38,0.003001245,0.0005444033
0,1,13,39,0.01061993,0.001925293
0,1,13,40,0.01131066,0.002050445
0,1,14,1,0.02077876,0.003749955
0,1,14,2,0.04942171,0.008919164
0,1,14,3,0.01983552,0.003579729
0,1,14,4,0.1810107,0.03266704
0,1,14,5,0.3001107,0.05416101
0,1,14,6,0.3933041,0.07097965
0,1,14,7,0.5377734,0.09705199
0,1,14,8,0.3744199,0.06757162
0,1,14,9,0.6743346,0.1216971
0,1,14,10,0.002636067,0.0004757326
0,1,14,11,0.280858,0.05068639
0,1,14,12,1.629674,0.2941067
0,1,14,13,3.508134,0.6331165
0,1,14,14,5.481038,0.9891689
0,1,14,15,4.979056,0.898581
0,1,14,16,7.49371,1.352399
0,1,14,17,2.837301,0.5120487
0,1,14,18,1.060236,0.1913405
0,1,14,19,0.01757138,0.003171115
0,1,14,20,0.005297855,0.0009561061
0,1,14,21,0.01700187,0.003068334
0,1,14,22,0.4041132,0.0729303
0,1,14,23,0.2312003,0.04172495
0,1,14,24,1.418357,0.2559742
0,1,14,25,0.01972799,0.003560349
0,1,14,30,0.003560289,0.0006425272
0,1,14,32,0.001141134,0.000205941
0,1,14,33,0.001813317,0.0003272504
0,1,14,34,0.006726647,0.001213961
0,1,14,35,0.007090382,0.001279605
0,1,14,36,0.01272811,0.002297048
0,1,14,37,0.002875107,0.0005188718
0,1,14,38,0.01044202,0.001884479
0,1,14,39,0.03414373,0.006161973
0,1,14,40,0.0368601,0.0066522
0,1,15,1,0.01935587,0.003506109
0,1,15,2,0.04570263,0.008278788
0,1,15,3,0.0184752,0.003347057
0,1,15,4,0.1290004,0.02334908
0,1,15,5,0.2145659,0.03884575
0,1,15,6,0.2958277,0.05355778
0,1,15,7,0.3961768,0.07172035
0,1,15,8,0.2768312,0.05012023
0,1,15,9,0.4861719,0.0880127
0,1,15,10,0.002546963,0.0004614319
0,1,15,11,0.186551,0.03379146
0,1,15,12,1.083293,0.196227
0,1,15,13,3.963729,0.7170472
0,1,15,14,4.363986,0.7894601
0,1,15,15,10.83858,1.962061
0,1,15,16,7.124381,1.290974
0,1,15,17,1.928508,0.3499163
0,1,15,18,0.6196607,0.1123899
0,1,15,19,0.01603201,0.002904704
0,1,15,20,0.004912231,0.0008900165
0,1,15,21,0.0153332,0.002778296
0,1,15,22,0.2379153,0.04307703
0,1,15,23,0.2153467,0.03912878
0,1,15,24,4.553915,0.827638
0,1,15,25,0.04504871,0.00817041
0,1,15,30,0.003329194,0.0006031414
0,1,15,32,0.001070368,0.0001938452
0,1,15,33,0.00170299,0.0003084167
0,1,15,34,0.006258784,0.001133637
0,1,15,35,0.006463574,0.001170986
0,1,15,36,0.01052128,0.001904647
0,1,15,37,0.002338337,0.0004232142
0,1,15,38,0.01221464,0.002213171
0,1,15,39,0.06109057,0.01107282
0,1,15,40,0.06598838,0.01196137
0,1,16,1,0.04558324,0.008266571
0,1,16,2,0.1139151,0.020662
0,1,16,3,0.04501695,0.008165537
0,1,16,4,0.3675573,0.06672239
0,1,16,5,0.4972352,0.09013826
0,1,16,6,0.6741511,0.1222175
0,1,16,7,0.9130338,0.1655364
0,1,16,8,0.6439424,0.1167469
0,1,16,9,1.174945,0.2129932
0,1,16,10,0.006661889,0.001209113
0,1,16,11,0.6691898,0.1215396
0,1,16,12,3.409052,0.618301
0,1,16,13,6.446002,1.16774
0,1,16,14,12.14704,2.200015
0,1,16,15,14.58742,2.646525
0,1,16,16,24.21971,4.395859
0,1,16,17,9.916717,1.800722
0,1,16,18,3.4392,0.6247955
0,1,16,19,0.04350216,0.007896317
0,1,16,20,0.01344297,0.002440485
0,1,16,21,0.04243885,0.007703404
0,1,16,22,0.848583,0.154088
0,1,16,23,1.342652,0.2442605
0,1,16,24,6.437483,1.168892
0,1,16,25,0.06903676,0.01252685
0,1,16,30,0.00864369,0.001568758
0,1,16,31,0.001248895,0.0002266129
0,1,16,32,0.002306089,0.0004181094
0,1,16,33,0.003674798,0.0006662504
0,1,16,34,0.01392074,0.002524077
0,1,16,35,0.01738767,0.00315621
0,1,16,36,0.03096424,0.005620395
0,1,16,37,0.006846094,0.001242571
0,1,16,38,0.02698473,0.004896342
0,1,16,39,0.1095373,0.01987375
0,1,16,40,0.1176615,0.02134668
0,1,17,1,0.0348959,0.006297898
0,1,17,2,0.08759601,0.01580901
0,1,17,3,0.0338289,0.006105316
0,1,17,4,0.3740451,0.06750668
0,1,17,5,0.5061643,0.09135149
0,1,17,6,0.7408325,0.1337037
0,1,17,7,1.013243,0.1828681
0,1,17,8,0.6831986,0.1233023
0,1,17,9,1.276582,0.2303949
0,1,17,10,0.004707281,0.0008495516
0,1,17,11,0.7438459,0.1342472
0,1,17,12,4.265866,0.7698919
0,1,17,13,4.990478,0.9006658
0,1,17,14,7.44007,1.342753
0,1,17,15,5.186559,0.9360465
0,1,17,16,10.69475,1.930143
0,1,17,17,9.817258,1.771773
0,1,17,18,4.210756,0.7599425
0,1,17,19,0.03246149,0.005858523
0,1,17,20,0.01011438,0.001825404
0,1,17,21,0.03142587,0.005671621
0,1,17,22,0.8908764,0.1607832
0,1,17,23,0.7738576,0.1396619
0,1,17,24,2.47208,0.4461483
0,1,17,25,0.03201683,0.005778243
0,1,17,30,0.006541756,0.001180632
0,1,17,31,0.001007601,0.0001818487
0,1,17,32,0.001830981,0.0003304495
0,1,17,33,0.002854901,0.0005152436
0,1,17,34,0.0109195,0.001970716
0,1,17,35,0.01333833,0.002407252
0,1,17,36,0.02288341,0.00412991
0,1,17,37,0.005058113,0.0009128705
