TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,industry,other,service,workplace,superZone,IntExt,xi,yi,Students,area,socio,vehAdultFactor,SZ_new,ssz,settl_size,ORTHO,ARABS,REST,childEdu,adultEdu
229,251.4,436.9,992.6,166.5,171.3,92.8,108,316.5,137.6,91.55329049,38.17881403,104.8930125,234.6239684,2,2,209.823104,754.808471,40,1.16,6,1,2,2,1,0,0,1,40,0
230,314.1,215.9,911.5,119.3,143.2,107.5,161.9,306.9,72.7,122.3385278,24.73648594,114.4644419,261.5487667,2,2,216.237228,762.619812,0,0.39,3,1,2,2,2,0,1,0,0,0
231,2692.4,1736.5,7814.2,1023.1,1227.9,921.2,1387.9,2631.1,623,375.8979322,76.00544231,351.703979,803.6359628,2,2,215.355636,763.288024,1023,3.36,3,1,2,2,2,0,1,0,1023,0
232,2135.5,1147,4483.7,530.7,636.1,476.3,768.7,1651.7,420.2,292.4160248,289.4690674,573.3778376,1155.207327,2,2,216.001602,761.997436,2118,1.2,4,1,2,2,2,0,1,0,2118,0
233,1304.6,918.5,3788.9,528.6,631.1,469.4,628.7,1274.5,256.6,114.8289559,165.0164366,377.2091051,657.0544976,2,2,214.551834,758.996093,524,0.95,3,1,2,2,3,0,1,0,524,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,215.047805,758.50708,0,0.22,0,1,2,2,1,0,0,1,0,0
235,2022,1242.3,5872.9,819.3,978.3,727.6,974.5,1975.5,397.7,301.2081332,432.8550445,989.4581857,1723.521363,2,2,213.634979,759.375,2485,0.9,3,1,2,2,3,0,1,0,2485,0
236,2039.8,1481,5923.6,826.4,986.7,733.9,983,1992.6,401.2,40.93885784,58.83171528,134.4827166,234.2532897,2,2,213.263336,760.285034,972,4.28,3,1,2,2,3,0,1,0,972,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,214.393814,758.105102,0,0.94,0,1,2,2,1,0,0,1,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,213.223434,758.350646,0,1.62,0,1,2,2,1,0,0,1,0,0
239,2459.5,1527.4,6225.4,882.7,1032.1,740.1,1102.6,1965.4,502.5,768.1771778,227.597936,667.5295624,1663.320744,2,2,220.287734,761.895935,195,2.95,3,1,2,2,2,0,1,0,195,0
240,2775,1756.5,6817.3,966.6,1130.2,810.5,1207.4,2152.3,550.3,664.5422108,196.892644,577.4729894,1438.921744,2,2,219.042984,762.259399,928,2.41,3,1,2,2,2,0,1,0,928,0
241,529.4,409,1484.3,210.5,246.1,176.5,262.9,468.6,119.8,931.5997964,276.0173004,809.540328,2017.176911,2,2,217.016723,761.683532,3068,5.11,3,1,2,2,2,0,0,1,3067,0
242,3659.1,1877.1,8711.2,986.3,1248.8,1018.2,1629.9,3089.9,738,668.093115,197.944717,580.5586493,1446.610455,2,2,218.12004,759.643066,1539,17.1,5,1,2,2,2,0,0.86,0.14,1539,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,210.721801,755.588439,0,14.01,0,1,2,2,1,0,0,1,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,210.13388,758.500061,0,0.87,0,1,2,2,1,0,0,1,0,0
245,0,0,0,0,0,0,0,0,0,536.7342753,223.8245941,614.9388488,1375.490984,2,2,210.764114,753.295471,0,10.68,0,1,2,2,1,0,0,1,0,0
301,3502.5,2280.2,10930,2008.6,2155.6,1298.2,1225.7,3514.1,727.9,124.4339525,221.4924355,1188.593114,1534.519502,3,2,231.921752,756.248046,2379,35.88,4,1,3,3,2,0,0.59,0.41,2379,0
302,0,0,0,0,0,0,0,0,0,4381.120061,185.6906262,188.0822258,4754.841664,3,2,231.35559,758.784729,0,4.81,6,1,3,3,3,0,0,1,0,0
303,1495.7,1907.9,4304.1,552.4,611.1,393.6,465.4,1482.8,798.8,736.9309989,445.5227507,1245.320517,2427.644376,3,2,229.125274,758.107849,331,0.6,3,1,3,3,3,0.12,0,0.88,331,0
304,1349.7,1364.7,3884.1,498.5,551.5,355.2,420,1338.1,720.9,158.4321025,54.37528405,150.1277763,362.8990571,3,2,225.898666,757.689514,458,1.09,6,1,3,3,3,0,0,1,458,0
305,1516.3,835.4,3978.5,731.1,784.6,472.6,446.1,1279.1,264.9,175.2794923,178.3444889,921.7977233,1275.421704,3,2,225.446365,754.745239,549,12.21,7,1,3,3,1,0,0.21,0.79,549,0
306,1423.1,848.8,3249.6,597.2,640.9,386,364.4,1044.8,216.4,2686.277621,65.29947056,562.5666771,3314.187244,3,2,225.086456,752.276489,1235,11.96,9,1,3,3,1,0,0,1,1235,0
307,507.4,350.7,1160.8,213.3,228.9,137.9,130.2,373.2,77.3,162.0299438,36.11958716,109.0134415,307.1555202,3,2,233.954833,749.144348,80,39.23,7,1,3,3,1,0,0,1,80,0
308,0,0,0,0,0,0,0,0,0,1650.67909,367.9680796,1110.573788,3129.145037,3,2,218.496551,757.110412,0,4.85,0,1,3,3,1,0,0,1,0,0
